browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid
firefox,linux,en-US,14,0,irlexp10_1,2022-03-09 15:38:30.965262,2022-03-09 15:38:36.793173,2022-03-09 15:50:40.363382,0.0,3,live,2294
chrome,windows,en-US,14,0,irlexp10_1,2022-03-09 15:29:39.602948,2022-03-09 15:38:07.480504,2022-03-09 15:53:08.099791,0.0,3,live,2295
firefox,windows,en-US,14,0,irlexp10_1,2022-03-09 14:52:18.003029,2022-03-09 14:52:23.545734,2022-03-09 15:02:38.570707,0.0,3,live,2217
chrome,windows,en-US,15,0,irlexp10_1,2022-03-09 17:47:27.101427,2022-03-09 17:50:43.686386,2022-03-09 18:01:23.755434,0.0,3,live,2363
chrome,windows,en-US,15,0,irlexp10_1,2022-03-09 16:14:49.122579,2022-03-09 16:14:56.435541,2022-03-09 16:27:48.240071,0.0,3,live,2326
chrome,windows,en-US,15,0,irlexp10_1,2022-03-09 16:00:04.087869,2022-03-09 16:06:08.614217,2022-03-09 16:24:44.011202,0.0,3,live,2310
chrome,windows,en-US,15,0,irlexp10_1,2022-03-09 15:25:09.174078,2022-03-09 15:26:55.585241,2022-03-09 15:38:47.345801,0.0,3,live,2296
chrome,windows,en-US,15,0,irlexp10_1,2022-03-09 15:01:49.753021,2022-03-09 15:10:45.257558,2022-03-09 15:31:02.820662,0.0,3,live,2250
chrome,chromeos,en-US,15,0,irlexp10_1,2022-03-09 14:54:17.899501,2022-03-09 14:56:54.889589,2022-03-09 15:11:11.739850,0.0,3,live,2251
chrome,windows,en-US,16,0,irlexp10_1,2022-03-09 17:08:53.156493,2022-03-09 17:10:31.317967,2022-03-09 17:21:35.677921,0.0,3,live,2353
chrome,macos,en-US,16,0,irlexp10_1,2022-03-09 15:18:30.067845,2022-03-09 15:21:40.743048,2022-03-09 15:38:59.048901,0.0,3,live,2297
firefox,windows,en-US,16,0,irlexp10_1,2022-03-09 14:57:46.696694,2022-03-09 15:02:28.003168,2022-03-09 15:14:47.734339,0.0,3,live,2252
chrome,windows,en-US,16,0,irlexp10_1,2022-03-09 14:52:44.485996,2022-03-09 14:58:14.484772,2022-03-09 15:10:32.659891,0.0,3,live,2253
chrome,windows,en-US,16,0,irlexp10_1,2022-03-09 14:56:28.233598,2022-03-09 14:58:14.124084,2022-03-09 15:09:53.544772,0.0,3,live,2254
chrome,windows,en-US,17,0,irlexp10_1,2022-03-09 17:17:27.612332,2022-03-09 17:20:58.455101,2022-03-09 17:40:43.119322,0.0,3,live,2357
chrome,windows,en,17,0,irlexp10_1,2022-03-09 15:42:06.751869,2022-03-09 15:48:00.792111,2022-03-09 15:58:43.371195,0.0,3,live,2298
chrome,windows,en-US,17,0,irlexp10_1,2022-03-09 15:46:19.062897,2022-03-09 15:46:45.912642,2022-03-09 15:59:02.544250,0.0,3,live,2299
firefox,windows,en-US,17,0,irlexp10_1,2022-03-09 14:54:14.817772,2022-03-09 14:56:08.860741,2022-03-09 15:11:39.952000,0.0,3,live,2256
chrome,macos,en-US,17,0,irlexp10_1,2022-03-09 14:52:43.108110,2022-03-09 14:54:32.919695,2022-03-09 15:04:40.471928,0.0,3,live,2218
