pid,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus
2303,walrus,0,0,7,1,Wed Mar 09 2022 10:24:58 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.17,2.17
2304,walrus,0,0,7,1,Wed Mar 09 2022 10:18:04 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.94,2.94
1762,walrus,0,0,7,1,Wed Mar 09 2022 10:02:42 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.65,3.65
2264,walrus,0,0,7,1,Wed Mar 09 2022 09:56:28 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.48,3.48
2332,dromedary,0,0,7,1,Wed Mar 09 2022 10:24:28 GMT-0600 (Central Standard Time),0.002,2_4_24,312,0.5,0.50
2280,dromedary,0,0,7,1,Wed Mar 09 2022 10:09:28 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.19,0.19
2268,dromedary,0,0,7,1,Wed Mar 09 2022 09:55:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.33,3.33
1723,dromedary,0,0,7,1,Wed Mar 09 2022 09:59:40 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.14,3.14
2265,dromedary,0,0,7,1,Wed Mar 09 2022 08:53:03 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2333,aoudad,0,0,7,1,Wed Mar 09 2022 10:26:16 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.44,3.44
2305,aoudad,0,0,7,1,Wed Mar 09 2022 10:25:53 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.4,3.40
2306,aoudad,0,0,7,1,Wed Mar 09 2022 10:24:53 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.41,3.41
2281,aoudad,0,0,7,1,Wed Mar 09 2022 10:12:00 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.32,0.32
2266,aoudad,0,0,7,1,Wed Mar 09 2022 06:57:13 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,2.74,2.74
2313,chinchilla,0,0,7,1,Wed Mar 09 2022 12:00:19 GMT-0400 (hora de Venezuela),0.002,2_4_24,312,,
2230,guanaco,0,0,7,1,Wed Mar 09 2022 09:56:59 GMT-0500 (EST),0.002,2_4_24,312,,
2238,weasel,0,0,7,1,Wed Mar 09 2022 18:02:08 GMT+0300 (East Africa Time),0.002,2_4_24,312,,
2246,fruitbat,0,0,7,1,Wed Mar 09 2022 08:56:49 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2311,fieldmouse,0,0,7,1,Wed Mar 09 2022 10:19:11 GMT-0500 (EST),0.002,2_4_24,312,,
2331,chinchilla,0,0,7,1,Wed Mar 09 2022 08:23:57 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,,
2267,chinchilla,0,0,7,1,Wed Mar 09 2022 06:54:05 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,,
2359,chinchilla,0,0,7,1,Wed Mar 09 2022 12:36:45 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2282,bobcat,0,0,7,1,Wed Mar 09 2022 09:13:50 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2283,bighorn,0,0,7,1,Wed Mar 09 2022 10:11:32 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
