,pid,run,mouselab-quiz-post_Q0,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-pre_Q0,mouselab-quiz-pre_Q1,mouselab-quiz-pre_Q2,mouselab-quiz-pre_Q3,passed_quizzes,age,colorblind,effort,gender,female,male,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff
48,1217,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,41,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.2,3.2,weasel,47.733333333333334
50,1219,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,37,0,0,male,0.0,1.0,chrome,chromeos,UNKNOWN,9,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.17,4.17,rooster,43.38333333333333
52,1221,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,29,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,9,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.91,3.91,rooster,43.85
53,1222,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,38,0,0,male,0.0,1.0,firefox,windows,UNKNOWN,9,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.58,3.58,rooster,48.21666666666667
66,1604,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,38,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-10-24,2020-10-24,2020-10-24,0.0,3,debug,0,1,7,1,2020-10-24,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.01,4.01,hedgehog,29.7
67,1605,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,35,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.01,4.01,hedgehog,28.283333333333335
68,1606,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,23,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.04,4.04,hedgehog,56.35
69,1607,QuestPilot2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,37,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.68,3.68,hedgehog,46.88333333333333
70,1608,QuestPilot2,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,50,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",1.54,2.54,hedgehog,47.21666666666667
71,1609,QuestPilot2,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,32,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.75,3.75,hedgehog,31.683333333333334
